league, seasons

at.1,    2010/11 2011/12 2012/13 2013/14 2014/15 2015/16 2016/17 2018/19 2019/20
at.2,    2010/11 2011/12 2012/13 2013/14 2014/15 2015/16 2016/17 2018/19 2019/20
at.3.o,  2010/11 2011/12 2012/13 2013/14 2014/15 2015/16 2016/17 2018/19 2019/20
at.cup,  2010/11 2011/12 2012/13 2013/14 2014/15 2015/16 2016/17 2018/19 2019/20



