league, seasons

at.1,    2020/21 2021/22 2022/23 2023/24 2024/25
at.2,    2020/21 2021/22 2022/23 2023/24 2024/25
at.3.o,  2020/21 2021/22 2022/23 2023/24 2024/25
at.cup,  2020/21 2021/22 2022/23 2023/24 2024/25



