league, seasons

de.1,    2020/21 2021/22 2022/23 2023/24 2024/25
de.2,    2020/21 2021/22 2022/23 2023/24 2024/25
de.3,    2020/21 2021/22 2022/23 2023/24 2024/25
de.cup,  2020/21 2021/22 2022/23 2023/24 2024/25



