league, seasons

es.1,   2020/21 2021/22 2022/23 2023/24 2024/25
es.2,   2020/21 2021/22 2022/23 2023/24 2024/25
es.cup, 2020/21 2021/22 2022/23 2023/24 2024/25



