league, seasons

it.1,   2020/21 2021/22 2022/23 2023/24 2024/25
it.2,   2020/21 2021/22 2022/23 2023/24 2024/25
it.cup, 2020/21 2021/22 2022/23 2023/24 2024/25



