season,id_season,id_comp,start_date,end_date,name
2025/26,d5ju52a9misru35821zuqysd0,2000000041,2025-07-25T00:00:00Z,2026-05-17T00:00:00Z,Super League 2025/2026
2024/25,di2qqbngtlz7uub98l52shb10,2000000041,2024-07-20T00:00:00Z,2025-05-24T00:00:00Z,Super League 2024/2025
2023/24,c4s2k9mpw0m24f1uqkt1wlces,2000000041,2023-07-22T00:00:00Z,2024-05-25T00:00:00Z,Super League 2023/2024
2022/23,3n6bi4gjk25gkg4wv9bvlcbh0,2000000041,2022-07-16T00:00:00Z,2023-05-29T00:00:00Z,Super League 2022/2023
2021/22,400184462,2000000041,2021-07-24T00:00:00Z,2022-05-22T00:00:00Z,2021/2022
2020/21,400141799,2000000041,2020-09-19T00:00:00Z,2021-05-21T00:00:00Z,2020/2021
