season,id_season,id_comp,start_date,end_date,name
2025/26,97zghcaoec1isvvdkh9ud50d0,482ofyysbdbeoxauk19yg7tdt,2025-08-08T00:00:00Z,2026-05-17T00:00:00Z,Süper Lig 2025/2026
2024/25,1c0t9lv2rftjjx8dxn5s9csus,482ofyysbdbeoxauk19yg7tdt,2024-08-09T00:00:00Z,2025-06-01T00:00:00Z,Süper Lig 2024/2025
2023/24,3wzgnhcmgbudm6vt2ye410ahg,482ofyysbdbeoxauk19yg7tdt,2023-08-11T00:00:00Z,2024-05-26T00:00:00Z,Süper Lig 2023/2024
2022/23,dffn22be69d945d62hmqc2qdw,482ofyysbdbeoxauk19yg7tdt,2022-08-05T00:00:00Z,2023-06-07T00:00:00Z,Süper Lig 2022/2023
2021/22,400191239,482ofyysbdbeoxauk19yg7tdt,2021-08-13T00:00:00Z,2022-05-22T00:00:00Z,2021/2022
2020/21,400138588,482ofyysbdbeoxauk19yg7tdt,2020-09-11T00:00:00Z,2021-05-15T00:00:00Z,2020/2021
