season,id_season,id_comp,start_date,end_date,name
2025/26,51r6ph2woavlbbpk8f29nynf8,2000000000,2025-08-15T00:00:00Z,2026-05-24T00:00:00Z,Premier League 2025/2026
2024/25,9n12waklv005j8r32sfjj2eqc,2000000000,2024-08-16T00:00:00Z,2025-05-25T00:00:00Z,Premier League 2024/2025
2023/24,1jt5mxgn4q5r6mknmlqv5qjh0,2000000000,2023-08-11T00:00:00Z,2024-05-19T00:00:00Z,Premier League 2023/2024
2022/23,80foo89mm28qjvyhjzlpwj28k,2000000000,2022-08-05T00:00:00Z,2023-05-28T00:00:00Z,Premier League 2022/2023
2021/22,400189074,2000000000,2021-08-13T00:00:00Z,2022-05-22T00:00:00Z,Premier League 2021/2022
2020/21,400137020,2000000000,2020-09-12T00:00:00Z,2021-05-23T00:00:00Z,2020/2021
