season,id_season,id_comp,start_date,end_date,name
2026,285023,17,2026-06-11T19:00:00Z,2026-07-19T00:00:00Z,FIFA World Cup 2026
2022,255711,17,2022-11-20T16:00:00Z,2022-12-18T00:00:00Z,FIFA World Cup Qatar 2022
2018,254645,17,2018-06-14T15:00:00Z,2018-07-15T00:00:00Z,2018 FIFA World Cup Russia
2014,251164,17,2014-06-12T20:00:00Z,2014-07-13T00:00:00Z,2014 FIFA World Cup Brazil
2010,249715,17,2010-06-11T14:00:00Z,2010-07-11T00:00:00Z,2010 FIFA World Cup South Africa
2006,9741,17,2006-06-09T16:00:00Z,2006-07-09T00:00:00Z,2006 FIFA World Cup Germany
2002,4395,17,2002-05-31T11:30:00Z,2002-06-30T00:00:00Z,2002 FIFA World Cup Korea/Japan
1998,1013,17,1998-06-10T15:30:00Z,1998-07-12T00:00:00Z,1998 FIFA World Cup France
1994,84,17,1994-06-17T20:00:00Z,1994-07-17T00:00:00Z,1994 FIFA World Cup USA
1990,76,17,1990-06-08T16:00:00Z,1990-07-08T00:00:00Z,1990 FIFA World Cup Italy
1986,68,17,1986-05-31T17:00:00Z,1986-06-29T00:00:00Z,1986 FIFA World Cup Mexico
1982,59,17,1982-06-13T18:00:00Z,1982-07-11T00:00:00Z,1982 FIFA World Cup Spain
1978,50,17,1978-06-01T18:00:00Z,1978-06-25T00:00:00Z,1978 FIFA World Cup Argentina
1974,39,17,1974-06-13T15:00:00Z,1974-07-07T00:00:00Z,1974 FIFA World Cup Germany
1970,32,17,1970-05-31T17:00:00Z,1970-06-21T00:00:00Z,1970 FIFA World Cup Mexico
1966,26,17,1966-07-11T18:30:00Z,1966-07-30T00:00:00Z,1966 FIFA World Cup England
1962,21,17,1962-05-30T19:00:00Z,1962-06-17T00:00:00Z,1962 FIFA World Cup Chile
1958,15,17,1958-06-08T12:00:00Z,1958-06-29T00:00:00Z,1958 FIFA World Cup Sweden
1954,9,17,1954-06-16T16:00:00Z,1954-07-04T00:00:00Z,1954 FIFA World Cup Switzerland
1950,7,17,1950-06-24T18:00:00Z,1950-07-16T00:00:00Z,1950 FIFA World Cup Brazil
1938,5,17,1938-06-04T15:00:00Z,1938-06-19T00:00:00Z,1938 FIFA World Cup France
1934,3,17,1934-05-27T14:30:00Z,1934-06-10T00:00:00Z,1934 FIFA World Cup Italy
1930,1,17,1930-07-13T18:00:00Z,1930-07-30T00:00:00Z,1930 FIFA World Cup Uruguay
