season,id_season,id_comp,start_date,end_date,name
2025/26,editpgeuef9yi9a8akjrl4bv8,2000000020,2025-07-18T00:00:00Z,2026-05-24T00:00:00Z,Czech Liga 2025/2026
2024/25,ezx3xnxmvvafpi9rrmsqavpqs,2000000020,2024-07-19T00:00:00Z,2025-05-25T00:00:00Z,Czech Liga 2024/2025
2023/24,9v32gafhibc3nc4d7mi8cu61g,2000000020,2023-07-22T00:00:00Z,2024-05-31T00:00:00Z,Czech Liga 2023/2024
2022/23,83gqiob25mguskyd0rqagns44,2000000020,2022-07-30T00:00:00Z,2023-05-28T00:00:00Z,Czech Liga 2022/2023
2021/22,400181643,2000000020,2021-07-24T00:00:00Z,2022-05-15T00:00:00Z,2021/2022
2020/21,400133151,2000000020,2020-08-21T00:00:00Z,2021-05-29T00:00:00Z,2020/2021
