season,id_season,id_comp,start_date,end_date,name
2026,aclvhp7yp4w85gpqw5yyt1xqs,2000000088,2026-02-28T00:00:00Z,2026-11-30T00:00:00Z,K League 1 2026
2025,5rllgorksj0l5npi51efu4ges,2000000088,2025-02-15T00:00:00Z,2025-11-30T00:00:00Z,K League 1 2025
2024,8dz245skul7xcviumzumhlkwk,2000000088,2024-03-01T00:00:00Z,2024-11-24T00:00:00Z,K League 1 2024
2023,4ebkg0znzhb9yxq6yr7ke2rkk,2000000088,2023-02-25T00:00:00Z,2023-12-03T00:00:00Z,K League 1 2023
2022,400220905,2000000088,2022-02-19T00:00:00Z,2022-10-23T00:00:00Z,2022
2021,400160650,2000000088,2021-02-27T00:00:00Z,2021-12-05T00:00:00Z,2021
