season,id_season,id_comp,start_date,end_date,name
2025/26,1nu1lj0jx1nlr2x642usuevpw,f4jc2cc5nq7flaoptpi5ua4k4,2025-08-09T00:00:00Z,2026-05-14T00:00:00Z,Ligue 1 2025/2026
2024/25,8n4x1vdsqp73ifa5rfc19w9p0,f4jc2cc5nq7flaoptpi5ua4k4,2024-08-31T00:00:00Z,2025-05-15T00:00:00Z,Ligue 1 2024/2025
2023/24,2yea6iwjqssxt041ioy4967tg,f4jc2cc5nq7flaoptpi5ua4k4,2023-08-19T00:00:00Z,2024-06-20T00:00:00Z,Ligue 1 2023/2024
2022/23,24215ys67fiyt916nusi6y0pg,f4jc2cc5nq7flaoptpi5ua4k4,2022-10-07T00:00:00Z,2023-06-30T00:00:00Z,Ligue 1 2022/2023
2021/22,6remlt7uqgeou8s3knjpes4,f4jc2cc5nq7flaoptpi5ua4k4,2021-10-16T00:00:00Z,2022-06-26T00:00:00Z,Ligue 1 2021/2022
