season,id_season,id_comp,start_date,end_date,name
2026,6i6n0jkbh9zzij6s8htfjh2j8,2000000103,2026-02-21T00:00:00Z,2026-12-23T00:00:00Z,MLS 2026
2025,2p9ipxt6ftkdphe5afitgd0,2000000103,2025-02-22T00:00:00Z,2025-12-06T00:00:00Z,MLS 2025
2024,929cd2ue4bpcebvx91rx9e3h0,2000000103,2024-02-22T00:00:00Z,2024-12-07T00:00:00Z,MLS 2024
2023,7a5umgwn0v0mbrtadxnnp9b84,2000000103,2023-02-25T00:00:00Z,2023-12-09T00:00:00Z,MLS 2023
2022,400223607,2000000103,2022-02-26T00:00:00Z,2022-11-05T00:00:00Z,MLS 2022
