season,id_season,id_comp,start_date,end_date,name
2025/26,dbxs75cag7zyip5re0ppsanmc,2000000018,2025-08-15T00:00:00Z,2026-05-17T00:00:00Z,Ligue 1 2025/2026
2024/25,a7htj8rtzib7a2xx7b3xs04d0,2000000018,2024-08-16T00:00:00Z,2025-05-17T00:00:00Z,Ligue 1 2024/2025
2023/24,bew0mp74n9712w9ns3dsxrf2s,2000000018,2023-08-11T00:00:00Z,2024-05-19T00:00:00Z,Ligue 1 2023/2024
2022/23,b5rz3ukb6kvo9m5neiptb0avo,2000000018,2022-08-05T00:00:00Z,2023-06-03T00:00:00Z,Ligue 1 2022/2023
2021/22,400187221,2000000018,2021-08-06T00:00:00Z,2022-05-21T00:00:00Z,Ligue 1 2021/2022
