season,id_season,id_comp,start_date,end_date,name
2026,beev3xu6oz7vc6l4rcxygw4d0,2000000034,2026-03-14T00:00:00Z,2026-12-13T00:00:00Z,Eliteserien 2026
2025,59ghbl9ewb73y9y90c1d8hclw,2000000034,2025-03-29T00:00:00Z,2025-11-30T00:00:00Z,Eliteserien 2025
2024,bi05yfqhubxa0h8158lpq8k5w,2000000034,2024-03-31T00:00:00Z,2024-12-01T00:00:00Z,Eliteserien 2024
2023,2qgi9n7egeyzgb9s5lby02vx0,2000000034,2023-04-10T00:00:00Z,2023-12-03T00:00:00Z,Eliteserien 2023
2022,400230521,2000000034,2022-04-02T00:00:00Z,2022-11-13T00:00:00Z,Eliteserien 2022
