Round,Date,Time,Time Local,Team 1,Score,Team 2,Stadium
Matchday 6,2024-12-10,21:00,,Atalanta BC (ITA),,Real Madrid CF (ESP),"Stadio Atleti Azzurri d'Italia, Bergamo"
Matchday 6,2024-12-10,21:00,,Bayer 04 Leverkusen (GER),,Inter Milan (ITA),"BayArena, Leverkusen"
Matchday 6,2024-12-10,21:00,,Club Brugge KV (BEL),,Sporting CP (POR),"Jan Breydel Stadium, Bruges"
Matchday 6,2024-12-10,21:00,,FC Red Bull Salzburg (AUT),,Paris Saint-Germain F.C. (FRA),"Red Bull Arena, Salzburg"
Matchday 6,2024-12-10,21:00,,FC Shakhtar Donetsk (UKR),,FC Bayern Munich (GER),"Arena AufSchalke, Gelsenkirchen, Germany"
Matchday 6,2024-12-10,21:00,,RB Leipzig (GER),,Aston Villa F.C. (ENG),"Red Bull Arena, Leipzig"
Matchday 6,2024-12-10,21:00,,Stade Brestois 29 (FRA),,PSV Eindhoven (NED),"Stade Francis-Le Blé, Brest"
Matchday 6,2024-12-11,18:45,,Atlético Madrid (ESP),,ŠK Slovan Bratislava (SVK),"Metropolitano Stadium, Madrid"
Matchday 6,2024-12-11,18:45,,Lille OSC (FRA),,SK Sturm Graz (AUT),"Stade Pierre-Mauroy, Villeneuve-d'Ascq"
Matchday 6,2024-12-11,21:00,,AC Milan (ITA),,Red Star Belgrade (SRB),"San Siro, Milan"
Matchday 6,2024-12-11,21:00,(20:00 UTC+0),Arsenal F.C. (ENG),,AS Monaco FC (FRA),"Emirates Stadium, London"
Matchday 6,2024-12-11,21:00,,Borussia Dortmund (GER),,FC Barcelona (ESP),"Westfalenstadion, Dortmund"
Matchday 6,2024-12-11,21:00,,Feyenoord (NED),,AC Sparta Prague (CZE),"De Kuip, Rotterdam"
Matchday 6,2024-12-11,21:00,,Juventus FC (ITA),,Manchester City F.C. (ENG),"Juventus Stadium, Turin"
Matchday 6,2024-12-11,21:00,(20:00 UTC+0),S.L. Benfica (POR),,Bologna FC 1909 (ITA),"Estádio da Luz, Lisbon"
Matchday 6,2024-12-11,21:00,,VfB Stuttgart (GER),,BSC Young Boys (SUI),"MHPArena, Stuttgart"
Matchday 7,2025-1-21,18:45,,AS Monaco FC (FRA),,Aston Villa F.C. (ENG),"Stade Louis II, Monaco"
Matchday 7,2025-1-21,18:45,,Atalanta BC (ITA),,SK Sturm Graz (AUT),"Stadio Atleti Azzurri d'Italia, Bergamo"
Matchday 7,2025-1-21,21:00,,Atlético Madrid (ESP),,Bayer 04 Leverkusen (GER),"Metropolitano Stadium, Madrid"
Matchday 7,2025-1-21,21:00,,Bologna FC 1909 (ITA),,Borussia Dortmund (GER),"Stadio Renato Dall'Ara, Bologna"
Matchday 7,2025-1-21,21:00,,Club Brugge KV (BEL),,Juventus FC (ITA),"Jan Breydel Stadium, Bruges"
Matchday 7,2025-1-21,21:00,,Red Star Belgrade (SRB),,PSV Eindhoven (NED),"Red Star Stadium, Belgrade"
Matchday 7,2025-1-21,21:00,(20:00 UTC+0),Liverpool F.C. (ENG),,Lille OSC (FRA),"Anfield, Liverpool"
Matchday 7,2025-1-21,21:00,,ŠK Slovan Bratislava (SVK),,VfB Stuttgart (GER),"Tehelné pole, Bratislava"
Matchday 7,2025-1-21,21:00,(20:00 UTC+0),S.L. Benfica (POR),,FC Barcelona (ESP),"Estádio da Luz, Lisbon"
Matchday 7,2025-1-22,18:45,,FC Shakhtar Donetsk (UKR),,Stade Brestois 29 (FRA),"Arena AufSchalke, Gelsenkirchen, Germany"
Matchday 7,2025-1-22,18:45,,RB Leipzig (GER),,Sporting CP (POR),"Red Bull Arena, Leipzig"
Matchday 7,2025-1-22,21:00,,AC Milan (ITA),,Girona FC (ESP),"San Siro, Milan"
Matchday 7,2025-1-22,21:00,,AC Sparta Prague (CZE),,Inter Milan (ITA),"Stadion Letná, Prague"
Matchday 7,2025-1-22,21:00,(20:00 UTC+0),Arsenal F.C. (ENG),,GNK Dinamo Zagreb (CRO),"Emirates Stadium, London"
Matchday 7,2025-1-22,21:00,(20:00 UTC+0),Celtic F.C. (SCO),,BSC Young Boys (SUI),"Celtic Park, Glasgow"
Matchday 7,2025-1-22,21:00,,Feyenoord (NED),,FC Bayern Munich (GER),"De Kuip, Rotterdam"
Matchday 7,2025-1-22,21:00,,Paris Saint-Germain F.C. (FRA),,Manchester City F.C. (ENG),"Parc des Princes, Paris"
Matchday 7,2025-1-22,21:00,,Real Madrid CF (ESP),,FC Red Bull Salzburg (AUT),"Santiago Bernabéu, Madrid"
Matchday 8,2025-1-29,21:00,(20:00 UTC+0),Aston Villa F.C. (ENG),,Celtic F.C. (SCO),"Villa Park, Birmingham"
Matchday 8,2025-1-29,21:00,,Bayer 04 Leverkusen (GER),,AC Sparta Prague (CZE),"BayArena, Leverkusen"
Matchday 8,2025-1-29,21:00,,Borussia Dortmund (GER),,FC Shakhtar Donetsk (UKR),"Westfalenstadion, Dortmund"
Matchday 8,2025-1-29,21:00,,BSC Young Boys (SUI),,Red Star Belgrade (SRB),"Stadion Wankdorf, Bern"
Matchday 8,2025-1-29,21:00,,FC Barcelona (ESP),,Atalanta BC (ITA),"Camp Nou, Barcelona"
Matchday 8,2025-1-29,21:00,,FC Bayern Munich (GER),,ŠK Slovan Bratislava (SVK),"Allianz Arena, Munich"
Matchday 8,2025-1-29,21:00,,Inter Milan (ITA),,AS Monaco FC (FRA),"San Siro, Milan"
Matchday 8,2025-1-29,21:00,,FC Red Bull Salzburg (AUT),,Atlético Madrid (ESP),"Red Bull Arena, Salzburg"
Matchday 8,2025-1-29,21:00,,Girona FC (ESP),,Arsenal F.C. (ENG),"Montilivi, Girona"
Matchday 8,2025-1-29,21:00,,GNK Dinamo Zagreb (CRO),,AC Milan (ITA),"Stadion Maksimir, Zagreb"
Matchday 8,2025-1-29,21:00,,Juventus FC (ITA),,S.L. Benfica (POR),"Juventus Stadium, Turin"
Matchday 8,2025-1-29,21:00,,Lille OSC (FRA),,Feyenoord (NED),"Stade Pierre-Mauroy, Villeneuve-d'Ascq"
Matchday 8,2025-1-29,21:00,(20:00 UTC+0),Manchester City F.C. (ENG),,Club Brugge KV (BEL),"City of Manchester Stadium, Manchester"
Matchday 8,2025-1-29,21:00,,PSV Eindhoven (NED),,Liverpool F.C. (ENG),"Philips Stadion, Eindhoven"
Matchday 8,2025-1-29,21:00,,SK Sturm Graz (AUT),,RB Leipzig (GER),"Liebenauer Stadium, Graz"
Matchday 8,2025-1-29,21:00,(20:00 UTC+0),Sporting CP (POR),,Bologna FC 1909 (ITA),"Estádio José Alvalade, Lisbon"
Matchday 8,2025-1-29,21:00,,Stade Brestois 29 (FRA),,Real Madrid CF (ESP),"Stade Francis-Le Blé, Brest"
Matchday 8,2025-1-29,21:00,,VfB Stuttgart (GER),,Paris Saint-Germain F.C. (FRA),"MHPArena, Stuttgart"
