# Israeli Premier League 2024/25 - 14 club(s)

names, code
Maccabi Netanya FC | M. Netanya, ISR
Maccabi Bnei Reineh, ISR
Ironi Tiberias FC, ???
Maccabi Haifa FC | Maccabi Haifa, ISR
FC Ashdod | Ashdod, ISR
Beitar Jerusalem FC | Beitar Jerusalem, ISR
Hapoel Beer Sheva FC | H. Beer Sheva, ISR
Hapoel Kiryat Shmona FC | H. Kiryat Shmona, ISR
Maccabi Petah Tikva FC | M. Petah Tikva, ISR
Bnei Sakhnin FC | Bnei Sakhnin, ISR
Hapoel Jerusalem FC | Hapoel Jerusalem, ISR
Maccabi Tel Aviv FC | Maccabi Tel Aviv, ISR
Hapoel Haifa FC | H. Haifa, ISR
Hapoel Hadera FC | Hapoel Hadera, ISR
