# Cypriot First Division 2024/25 - 14 club(s)

names, code
APOEL FC | APOEL, CYP
Enosis Neon Paralimni FC | Paralimni, CYP
Aris Limassol FC | Aris Limassol, CYP
FC Karmiotissa | Karmiotissa, CYP
AEL Limassol FC | AEL, CYP
ALS Omonia 29is Maiou, ???
Anorthosis Famagusta FC | Anorthosis, CYP
Omonia Aradippou, CYP
AEK Larnaca FC | AEK Larnaca, CYP
Apollon Limassol FC | Apollon, CYP
Nea Salamis Famagusta FC | Nea Salamis, CYP
Pafos FC | Pafos, CYP
Ethnikos Achnas FC | Ethnikos Achnas, CYP
AC Omonoia | Omonoia, CYP
