# Serbian Super League 2024/25 - 16 club(s)

names, code
FK Železničar Pančevo, ???
FK Radnički 1923 | Radnički 1923, SRB
FK Partizan | Partizan, SRB
FK Napredak | Napredak, SRB
FK Jedinstvo Ub, ???
FK Crvena zvezda | Crvena zvezda, SRB
OFK Beograd, SRB
FK Mladost Lučani | Mladost Lučani, SRB
FK Radnicki Niš | Radnicki Niš, SRB
FK Čukarički | Čukarički, SRB
FK Spartak Subotica | Spartak Subotica, SRB
FK Novi Pazar | Novi Pazar, SRB
FK Vojvodina | Vojvodina, SRB
FK Tekstilac Odžaci, ???
FK IMT Novi Beograd, ???
FK TSC | TSC, SRB
