
###
##  https://www.uefa.com/nationalassociations/


## check official member country  names
###  add official countr codes ???


Albania
Andorra
Armenia
Austria
Azerbaijan
Belarus
Belgium
Bosnia and Herzegovina
Bulgaria
Croatia
Cyprus
Czechia
Denmark
England
Estonia
Faroe Islands
Finland
France
Georgia
Germany
Gibraltar
Greece
Hungary
Iceland
Israel
Italy
Kazakhstan
Kosovo
Latvia
Liechtenstein
Lithuania
Luxembourg
Malta
Moldova
Montenegro
Netherlands
North Macedonia
Northern Ireland
Norway
Poland
Portugal
Republic of Ireland
Romania
Russia
San Marino
Scotland
Serbia
Slovakia
Slovenia
Spain
Sweden
Switzerland
Türki̇ye
Ukraine
Wales

