season,slug
1903/1904,sco-premiership-1903-1904
1902/1903,sco-premiership-1902-1903
1901/1902,sco-premiership-1901-1902
1900/1901,sco-premiership-1900-1901
1899/1900,sco-premiership-1899-1900
1898/1899,sco-premiership-1898-1899
1897/1898,sco-premiership-1897-1898
1896/1897,sco-premiership-1896-1897
1895/1896,sco-premiership-1895-1896
1894/1895,sco-premiership-1894-1895
1893/1894,sco-premiership-1893-1894
1892/1893,sco-premiership-1892-1893
1891/1892,sco-premiership-1891-1892
1890/1891 Championship Playoff,sco-premiership-1890-1891-championship-playoff
1890/1891,sco-premiership-1890-1891
