season,slug
1948/1949,sui-super-league-1948-1949
1947/1948,sui-super-league-1947-1948
1946/1947,sui-super-league-1946-1947
1945/1946,sui-super-league-1945-1946
1944/1945,sui-super-league-1944-1945
1943/1944,sui-super-league-1943-1944
1942/1943,sui-super-league-1942-1943
1941/1942,sui-super-league-1941-1942
1940/1941,sui-super-league-1940-1941
1939/1940,sui-super-league-1939-1940
1938/1939,sui-super-league-1938-1939
1937/1938,sui-super-league-1937-1938
1936/1937,sui-super-league-1936-1937
1935/1936,sui-super-league-1935-1936
1934/1935,sui-super-league-1934-1935
1933/1934,sui-super-league-1933-1934
