season,id_season,id_comp,start_date,end_date,name
2025/26,bmmk637l2a33h90zlu36kx8no,7ntvbsyq31jnzoqoa8850b9b8,2025-08-08T00:00:00Z,2026-05-23T00:00:00Z,Championship 2025/2026
2024/25,d5obohxqafuwcthuh43ksmpec,7ntvbsyq31jnzoqoa8850b9b8,2024-08-09T00:00:00Z,2025-05-24T00:00:00Z,Championship 2024/2025
2023/24,2t5tvhbqxyfos7lh34lz7ggk,7ntvbsyq31jnzoqoa8850b9b8,2023-08-04T00:00:00Z,2024-05-26T00:00:00Z,Championship 2023/2024
2022/23,aywng82rqmk0kqweh6c9l6e50,7ntvbsyq31jnzoqoa8850b9b8,2022-07-29T00:00:00Z,2023-05-27T00:00:00Z,Championship 2022/2023
2021/22,76xncqiop75lzqqbn3vs3eexg,7ntvbsyq31jnzoqoa8850b9b8,2021-08-06T00:00:00Z,2022-05-29T00:00:00Z,Championship 2021/2022
2020/21,1eeaaimnu0lb7c9y4djcya7f8,7ntvbsyq31jnzoqoa8850b9b8,2020-09-11T00:00:00Z,2021-05-29T00:00:00Z,Championship 2020/2021
