season,id_season,id_comp,start_date,end_date,name
2025/26,f2s3v11z1occwbp69h73coqvo,2000000086,2025-10-17T00:00:00Z,2026-05-23T00:00:00Z,A-League Men 2025/2026
2024/25,4yylure37f3rnsje6vmsps2s4,2000000086,2024-10-18T00:00:00Z,2025-05-31T00:00:00Z,A-League Men 2024/2025
2023/24,52kxi893484fk75l1h7sndlp0,2000000086,2023-10-20T00:00:00Z,2024-05-25T00:00:00Z,A-League Men 2023/2024
2022/23,300ig4lfofmkh3u971h34pbf8,2000000086,2022-10-07T00:00:00Z,2023-06-03T00:00:00Z,A-League Men 2022/2023
2021/22,400208041,2000000086,2021-11-19T00:00:00Z,2022-05-28T00:00:00Z,2021/2022
2020/21,400154324,2000000086,2020-12-28T00:00:00Z,2021-06-27T00:00:00Z,2020/2021
