key,   slug

jp.1,    jpn-j1-league-2024
jp.2,    jpn-j2-league-2024
jp.cup,  jpn-emperors-cup-2024

cn.1,    chn-super-league-2024

kr.1,    kor-k-league-1-2024

kz.1,    kaz-premier-liga-2024
